PIN	PropClass	Address	City	Zip	SaleDate	SaleAmt	TaxRate	ASL	ASFL	AI	ASB	ASFB	ASTotal	ASFTotal	Subdivision	FullBath	Style	HalfBath	LivingSqFt	CentralAir	BldgSqFt	Fireplace	YearBuilt	Porch	Basement	Attic	Garage	Lot	Block	Unit	Building	Area	Status
02-24-05-312-008-0000	RESIDENTIAL	424 W ANNDON DR	BRAIDWOOD	60408	01/01/2005	$150,000	7.2039 (2016)	8,940	0	0	43,206	0	52,146	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8	N/A	N/A	N/A	N/A	N/A
02-24-05-312-007-0000	RESIDENTIAL	436 W ANNDON DR	BRAIDWOOD	60408	05/01/2015	$156,500	7.2039 (2016)	8,940	0	0	46,419	0	55,359	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7	N/A	N/A	N/A	N/A	N/A
02-24-05-312-009-0000	RESIDENTIAL	408 W ANNDON DR	BRAIDWOOD	60408	08/01/2002	$140,000	7.2039 (2016)	7,923	0	0	25,443	0	33,366	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8	N/A	N/A	N/A	N/A	N/A
02-24-05-313-001-0010	RESIDENTIAL	467 W ANNDON DR	BRAIDWOOD	60408	06/01/2014	$155,000	7.2039 (2016)	8,940	0	0	50,290	0	59,230	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-05-313-002-0000	RESIDENTIAL	453 W ANNDON DR	BRAIDWOOD	60408	07/01/2002	$138,000	7.2039 (2016)	9,562	0	0	41,292	0	50,854	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10	N/A	N/A	N/A	N/A	N/A
02-24-05-313-005-0000	RESIDENTIAL	425 W ANNDON DR	BRAIDWOOD	60408	11/01/1996	$25,000	7.2039 (2016)	8,940	0	0	45,313	0	54,253	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13	N/A	N/A	N/A	N/A	N/A
02-24-05-313-003-0000	RESIDENTIAL	449 W ANNDON DR	BRAIDWOOD	60408	03/01/2014	$140,500	7.2039 (2016)	8,940	0	0	39,753	0	48,693	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11	N/A	N/A	N/A	N/A	N/A
02-24-05-313-008-0000	RESIDENTIAL	391 W ANNDON DR	BRAIDWOOD	60408	03/01/2002	$162,000	7.2039 (2016)	8,940	0	0	45,540	0	54,480	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11	N/A	N/A	N/A	N/A	N/A
02-24-05-313-009-0000	RESIDENTIAL	377 W ANNDON DR	BRAIDWOOD	60408	06/01/2014	$190,000	7.2039 (2016)	8,940	0	0	57,660	0	66,600	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12	N/A	N/A	N/A	N/A	N/A
02-24-05-313-010-0000	RESIDENTIAL	355 W ANNDON DR	BRAIDWOOD	60408	05/01/2006	$216,000	7.2039 (2016)	9,562	0	0	52,014	0	61,576	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13	N/A	N/A	N/A	N/A	N/A
02-24-05-313-011-0000	RESIDENTIAL	333 W ANNDON DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,923	0	0	52,501	0	60,424	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14	N/A	N/A	N/A	N/A	N/A
02-24-05-313-012-0000	RESIDENTIAL	311 W ANNDON DR	BRAIDWOOD	60408	03/01/2010	$140,000	7.2039 (2016)	8,940	0	0	55,843	0	64,783	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15	N/A	N/A	N/A	N/A	N/A
02-24-05-313-007-0000	RESIDENTIAL	407 W ANNDON DR	BRAIDWOOD	60408	08/01/2014	$156,999	7.2039 (2016)	8,940	0	0	45,984	0	54,924	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10	N/A	N/A	N/A	N/A	N/A
02-24-05-313-006-0000	RESIDENTIAL	411 W ANNDON DR	BRAIDWOOD	60408	06/01/2015	$185,000	7.2039 (2016)	7,923	0	0	57,531	0	65,454	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9	N/A	N/A	N/A	N/A	N/A
02-24-05-313-004-0000	RESIDENTIAL	437 W ANNDON DR	BRAIDWOOD	60408	06/01/1999	$140,300	7.2039 (2016)	8,940	0	0	52,280	0	61,220	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12	N/A	N/A	N/A	N/A	N/A
02-24-05-314-001-0000	RESIDENTIAL	392 W ANNDON DR	BRAIDWOOD	60408	11/01/1998	$25,750	7.2039 (2016)	6,908	0	0	43,836	0	50,744	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	34	N/A	N/A	N/A	N/A	N/A
02-24-05-314-002-0000	RESIDENTIAL	364 W ANNDON DR	BRAIDWOOD	60408	12/01/2003	$173,600	7.2039 (2016)	6,908	0	0	49,865	0	56,773	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	33	N/A	N/A	N/A	N/A	N/A
02-24-06-301-006-0000	RESIDENTIAL	962 ANNDON LN	BRAIDWOOD	60408	09/01/2015	$105,500	7.2039 (2016)	11,208	0	0	42,437	0	53,645	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-06-301-007-0000	RESIDENTIAL	950 ANNDON LN	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	11,504	0	0	60,203	0	71,707	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-06-402-014-0000	RESIDENTIAL	620 W ANNDON ST	BRAIDWOOD	60408	04/01/2004	$28,900	7.2039 (2016)	10,341	0	0	41,803	0	52,144	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	25	N/A	N/A	N/A	N/A	N/A
02-24-06-403-004-0000	RESIDENTIAL	580 W ANNDON ST	BRAIDWOOD	60408	08/01/2005	$142,000	7.2039 (2016)	10,341	0	0	39,727	0	50,068	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	34	N/A	N/A	N/A	N/A	N/A
02-24-06-403-005-0000	RESIDENTIAL	548 W ANNDON ST	BRAIDWOOD	60408	09/01/2006	$172,500	5.7356 (2016)	10,341	0	0	39,813	0	50,154	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	35	N/A	N/A	N/A	N/A	N/A
02-24-06-403-006-0000	RESIDENTIAL	508 W ANNDON ST	BRAIDWOOD	60408	12/01/2004	$134,000	7.2039 (2016)	10,341	0	0	36,099	0	46,440	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	36	N/A	N/A	N/A	N/A	N/A
02-24-06-404-002-0000	RESIDENTIAL	675 W ANNDON ST	BRAIDWOOD	60408	09/01/2002	$27,900	7.2039 (2016)	7,784	0	0	38,164	0	45,948	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9	N/A	N/A	N/A	N/A	N/A
02-24-06-404-003-0000	RESIDENTIAL	667 W ANNDON ST	BRAIDWOOD	60408	06/01/2012	$128,000	7.2039 (2016)	7,784	0	0	38,164	0	45,948	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8	N/A	N/A	N/A	N/A	N/A
02-24-06-404-004-0000	RESIDENTIAL	645 W ANNDON ST	BRAIDWOOD	60408	08/01/2003	$151,000	7.2039 (2016)	10,341	0	0	43,934	0	54,275	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7	N/A	N/A	N/A	N/A	N/A
02-24-06-404-005-0000	RESIDENTIAL	623 W ANNDON ST	BRAIDWOOD	60408	10/01/2008	$150,000	7.2039 (2016)	10,341	0	0	31,913	0	42,254	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6	N/A	N/A	N/A	N/A	N/A
02-24-05-314-003-0000	RESIDENTIAL	346 W ANNDON DR	BRAIDWOOD	60408	03/01/2000	$142,500	7.2039 (2016)	6,200	0	0	46,415	0	52,615	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	32	N/A	N/A	N/A	N/A	N/A
02-24-06-404-006-0000	RESIDENTIAL	601 W ANNDON ST	BRAIDWOOD	60408	10/01/2003	$134,840	7.2039 (2016)	10,341	0	0	37,647	0	47,988	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	N/A	N/A	N/A	N/A	N/A
02-24-06-404-007-0000	RESIDENTIAL	597 W ANNDON ST	BRAIDWOOD	60408	05/01/2006	$171,000	7.2039 (2016)	7,784	0	0	38,164	0	45,948	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A
02-24-06-404-008-0000	RESIDENTIAL	575 W ANNDON ST	BRAIDWOOD	60408	01/01/2004	$27,900	7.2039 (2016)	10,120	0	0	36,796	0	46,916	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A
02-24-06-301-013-0000	RESIDENTIAL	916 ANNDON LN	BRAIDWOOD	60408	06/01/2011	$110,000	7.2039 (2016)	11,504	0	0	38,345	0	49,849	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-06-404-010-0000	RESIDENTIAL	511 W ANNDON ST	BRAIDWOOD	60408	06/01/2011	$90,000	7.2039 (2016)	10,341	0	0	45,782	0	56,123	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A
02-24-06-404-001-0000	RESIDENTIAL	693 W ANNDON ST	BRAIDWOOD	60408	10/01/2010	$120,000	7.2039 (2016)	7,784	0	0	38,164	0	45,948	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10	N/A	N/A	N/A	N/A	N/A
02-24-05-314-004-0000	RESIDENTIAL	322 W ANNDON DR	BRAIDWOOD	60408	10/01/2002	$22,000	7.2039 (2016)	6,908	0	0	49,123	0	56,031	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	31	N/A	N/A	N/A	N/A	N/A
02-24-06-404-009-0000	RESIDENTIAL	543 W ANNDON ST	BRAIDWOOD	60408	02/01/2009	$175,000	5.7356 (2016)	10,120	0	0	57,192	0	67,312	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A
02-24-06-301-018-0000	RESIDENTIAL	938 ANNDON LN	BRAIDWOOD	60408	07/01/2013	$118,977	7.2039 (2016)	11,504	0	0	60,226	0	71,730	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-19-300-006-0000	RESIDENTIAL	70 E ADAMS ST	GODLEY	60407	08/01/2004	$125,000	6.1243 (2016)	8,940	0	0	31,182	0	40,122	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9, 10, & 11	N/A	N/A	N/A	N/A	N/A
02-24-06-301-012-0000	RESIDENTIAL	924 ANNDON LN	BRAIDWOOD	60408	05/01/2006	$25,000	7.2039 (2016)	11,504	0	0	55,731	0	67,235	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-06-301-008-0000	RESIDENTIAL	984 ANNDON LN	BRAIDWOOD	60408	05/01/2014	$103,754	7.2039 (2016)	11,504	0	0	25,200	0	36,704	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-19-301-004-0000	RESIDENTIAL	130 E ADAMS ST	GODLEY	60407	N/A	N/A	6.1243 (2016)	8,940	0	0	10,849	0	19,789	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9, 10, 11, & 12	N/A	N/A	N/A	N/A	N/A
03-17-23-302-002-0000	RESIDENTIAL	1510 AMBER DR	WILMINGTON	60481	06/01/1998	$159,900	6.9170 (2016)	13,295	0	0	45,938	0	59,233	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A
03-17-23-302-012-0000	RESIDENTIAL	1490 AMBER DR	WILMINGTON	60481	07/31/1990	$120,000	8.1458 (2016)	13,295	0	0	48,264	0	61,559	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12	N/A	N/A	N/A	N/A	N/A
03-17-23-302-014-0000	RESIDENTIAL	1498 AMBER DR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	13,295	0	0	47,506	0	60,801	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7 & 8	N/A	N/A	N/A	N/A	N/A
03-17-23-302-015-0000	RESIDENTIAL	1504 AMBER DR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	13,295	0	0	40,802	0	54,097	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	N/A	N/A	N/A	N/A	N/A
03-17-23-302-016-0000	RESIDENTIAL	1506 AMBER DR	WILMINGTON	60481	03/13/1990	$82,300	8.1458 (2016)	13,295	0	0	46,934	0	60,229	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A
03-17-23-303-001-0000	RESIDENTIAL	1511 AMBER DR	WILMINGTON	60481	03/06/1987	$60,000	8.1458 (2016)	9,754	0	0	36,764	0	46,518	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	23	N/A	N/A	N/A	N/A	N/A
03-17-23-303-002-0000	RESIDENTIAL	1509 AMBER DR	WILMINGTON	60481	07/01/2005	$175,000	8.1458 (2016)	9,754	0	0	45,221	0	54,975	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	22	N/A	N/A	N/A	N/A	N/A
03-17-23-303-003-0000	RESIDENTIAL	1507 AMBER DR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	9,754	0	0	46,116	0	55,870	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	21	N/A	N/A	N/A	N/A	N/A
03-17-23-302-009-0000	RESIDENTIAL	1496 AMBER DR	WILMINGTON	60481	10/20/1984	$80,000	8.1458 (2016)	13,295	0	0	55,236	0	68,531	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9	N/A	N/A	N/A	N/A	N/A
03-17-23-303-004-0000	RESIDENTIAL	1505 AMBER DR	WILMINGTON	60481	08/01/2006	$150,000	8.1458 (2016)	9,754	0	0	34,410	0	44,164	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	20	N/A	N/A	N/A	N/A	N/A
03-17-23-303-005-0000	RESIDENTIAL	1503 AMBER DR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	9,754	0	0	37,400	0	47,154	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	19	N/A	N/A	N/A	N/A	N/A
03-17-23-303-006-0000	RESIDENTIAL	1501 AMBER DR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	9,754	0	0	31,144	0	40,898	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	18	N/A	N/A	N/A	N/A	N/A
03-17-23-305-002-0000	RESIDENTIAL	1497 AMBER DR	WILMINGTON	60481	06/01/2006	$205,000	8.1458 (2016)	9,754	0	0	45,958	0	55,712	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	16	N/A	N/A	N/A	N/A	N/A
03-17-23-305-003-0000	RESIDENTIAL	1495 AMBER DR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	9,754	0	0	32,687	0	42,441	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15	N/A	N/A	N/A	N/A	N/A
03-17-23-305-004-0000	RESIDENTIAL	1493 AMBER DR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	9,754	0	0	36,687	0	46,441	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14	N/A	N/A	N/A	N/A	N/A
03-17-23-305-005-0000	RESIDENTIAL	1491 AMBER DR	WILMINGTON	60481	12/01/2003	$138,600	8.1458 (2016)	9,754	0	0	44,705	0	54,459	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13	N/A	N/A	N/A	N/A	N/A
03-17-36-312-002-0000	COMMERCIAL	420 ANNS CIR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	35,830	0	0	247,593	0	283,423	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A
05-06-02-103-011-0000	RESIDENTIAL	1515 ADDLEMAN ST	JOLIET	60431	N/A	N/A	9.2749 (2016)	9,100	0	0	47,100	0	56,200	0	N/A	1	1-STY	0	1392 Sq. Feet	NO	1392 Sq. Feet	YES	1974	NO	PRT CRAWL, 196 Sq. Feet	NO	DETACHED, 720 Sq. Feet	20	N/A	N/A	N/A	N/A	N/A
03-17-23-302-006-0000	RESIDENTIAL	1502 AMBER DR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	13,295	0	0	41,096	0	54,391	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6	N/A	N/A	N/A	N/A	N/A
05-06-02-103-012-0000	RESIDENTIAL	1511 ADDLEMAN ST	JOLIET	60431	04/30/1993	$108,000	9.2749 (2016)	9,100	0	0	45,700	0	54,800	0	N/A	1	SPLIT LV	0	2474 Sq. Feet	YES	2474 Sq. Feet	NO	1974	NO	FULL, 1237 Sq. Feet	NO	DETACHED, 680 Sq. Feet	45	N/A	N/A	N/A	N/A	N/A
05-06-02-104-011-0000	RESIDENTIAL	1503 ADDLEMAN ST	JOLIET	60431	05/01/2016	$144,000	9.2749 (2016)	9,100	0	0	35,950	0	45,050	0	N/A	1	1-STY	0	1196 Sq. Feet	YES	1196 Sq. Feet	NO	1974	YES	SLAB, 1196 Sq. Feet	NO	DETACHED, 400 Sq. Feet	89	N/A	N/A	N/A	N/A	N/A
03-17-23-305-001-0000	RESIDENTIAL	1499 AMBER DR	WILMINGTON	60481	06/01/2016	$212,000	8.1458 (2016)	9,754	0	0	49,540	0	59,294	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	17	N/A	N/A	N/A	N/A	N/A
05-06-02-104-012-0000	RESIDENTIAL	1501 ADDLEMAN ST	JOLIET	60431	08/01/2013	$94,500	9.2749 (2016)	9,100	0	0	33,000	0	42,100	0	N/A	1	1-STY	0	1008 Sq. Feet	YES	1008 Sq. Feet	NO	1974	NO	SLAB, 1008 Sq. Feet	NO	ATTACHED, 336 Sq. Feet	90	N/A	N/A	N/A	N/A	N/A
03-17-23-302-011-0000	RESIDENTIAL	1492 AMBER DR	WILMINGTON	60481	05/01/2016	$197,000	8.1458 (2016)	13,295	0	0	53,848	0	67,143	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11	N/A	N/A	N/A	N/A	N/A
05-06-02-103-022-0000	RESIDENTIAL	1507 ADDLEMAN ST	JOLIET	60431	N/A	N/A	9.2749 (2016)	9,100	0	0	39,050	0	48,150	0	N/A	1	1-STY	0	1196 Sq. Feet	YES	1196 Sq. Feet	NO	1974	NO	FULL	NO	DETACHED, 484 Sq. Feet	46	N/A	N/A	N/A	N/A	N/A
02-24-19-303-005-0000	RESIDENTIAL	101 E ADAMS ST	GODLEY	60407	N/A	N/A	6.1243 (2016)	5,960	0	0	12,398	0	18,358	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4, 5, & 6	N/A	N/A	N/A	N/A	N/A
02-24-19-303-004-0000	RESIDENTIAL	131 E ADAMS ST	GODLEY	60407	N/A	N/A	6.1243 (2016)	5,960	0	0	20,959	0	26,919	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1, 2, 3	N/A	N/A	N/A	N/A	N/A
03-17-23-302-001-0000	RESIDENTIAL	1512 AMBER DR	WILMINGTON	60481	N/A	N/A	8.1458 (2016)	13,295	0	0	55,616	0	68,911	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A
05-06-02-104-026-0000	RESIDENTIAL	1425 ADDLEMAN ST	JOLIET	60431	10/01/2015	$175,000	10.2841 (2016)	9,450	0	0	47,050	0	56,500	0	N/A	2	SPLIT LV+1	0	1724 Sq. Feet	YES	1724 Sq. Feet	NO	1991	NO	PRT CRAWL, 1100 Sq. Feet	NO	DETACHED, 576 Sq. Feet	661	N/A	N/A	N/A	N/A	N/A
05-06-02-121-015-0000	RESIDENTIAL	1331 ADDLEMAN ST	JOLIET	60431	08/01/2013	$176,500	10.2841 (2016)	9,450	0	0	53,000	0	62,450	0	N/A	2	SPLIT LV+1	0	1792 Sq. Feet	YES	1792 Sq. Feet	NO	1989	NO	FULL, 648 Sq. Feet	NO	DETACHED, 720 Sq. Feet	346	N/A	N/A	N/A	N/A	N/A
